iterations,task_count,workers,repetitions,per_task_ms,serial_median_ms,pool_median_ms,speedup,speedup_low,speedup_high
1000,32,8,7,0.05222528125,1.671209,99.251666,0.016838095191268627,0.015418154245902942,0.018067689154863745
50000,32,8,7,2.04199478125,65.343833,110.924,0.5890865186974865,0.5601130535474392,0.6584116229282089
500000,32,8,7,20.8378736875,666.811958,243.264458,2.741098981257673,2.648860417767302,3.0645656769538707
2000000,32,8,7,85.814578125,2746.0665,693.171583,3.961597052370798,3.8491505245651196,4.3224747002259445
